addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x0039019392b1Ea93cD1277F75986fdF2407FE254,transfer-no-return,,,,,,_
0x00430f32B8e77A456d0Ab7E6f1Dc1B84F4ae62E0,transfer-no-return,,,,,,_
0x017214d55f5daaC38f5F7547629f29EAD7Fa1C3C,transfer-no-return,,,,,,_
0x01C67791309c71aA4Ed373025a0C089696D7c9e4,transfer-no-return,,,,,,_
0x01dD3a4ab1141c15Ac91FbC7d5Cf167f45B27D09,transfer-no-return,,,,,,_
0x020357707453376823f2Fa427243d8906e4D8A20,transfer-no-return,,,,,,_
0x0290eA3C728981725689187763F6C63a68e192b8,transfer-no-return,,,,,,_
0x03209BdE47dA583547C17c47e7CA74bFa3DFb404,transfer-no-return,,,,,,_
0x033d46D15AD9b5653cBE61Be97371023acb11f94,transfer-no-return,,,,,,_
0x03806Ce5ef69Bd9780EDFb04c29da1F23Db96294,transfer-no-return,,,,,,_
0x03834852F2889ddF286104bc771371C764be1fC6,transfer-no-return,,,,,,_
0x059468db0af9a1C0079ee0fC1d5773Aec585cC72,transfer-no-return,,,,,,_
0x05E1F62C2F3C0aB2acBACb5F9a2E4b53da5c64E6,transfer-no-return,,,,,,_
0x070C9244a54353a0F9c43670b21856Df2CC4e439,transfer-no-return,,,,,,_
0x0778Cc2E8bBAd3d483E82371606D100cc8604522,transfer-no-return,,,,,,_
0x07BA910f747b472Ba4840c184F6b6E92B0e7495e,transfer-no-return,,,,,,_
0x07Ec6c3159c2336Ba36Ab41f73411f8fEe430470,transfer-no-return,,,,,,_
0x08C5A77bF3D3bF96FcaD0f17d5A44f013f983aF1,transfer-no-return,,,,,,_
0x08e836f7d4804D39E798B6459FA54543f260d4C0,transfer-no-return,,,,,,_
0x08f63c012Ad7A1CfAaDDd401a34c5e8E31167a55,transfer-no-return,,,,,,_
0x09133d5AcFF2353d3860F1dc455589A941cF5EBd,transfer-no-return,,,,,,_
0x0D70dB256Cae067326EB63C09583Afddf75F117b,transfer-no-return,,,,,,_
0x0DfB5D0960a40DAE7cAcE8820e55AFcDD4A9d5Ab,transfer-no-return,,,,,,_
0x0E6FC41039de5413f7Cb9D2165248d41891BED89,transfer-no-return,,,,,,_
0x0Ed74A3ECc90270D18a3b3A8eB0042a7Cdd03B19,transfer-no-return,,,,,,_
0x0Ef27C7606a021457F161859d4952396AFF9A92B,transfer-no-return,,,,,,_
0x0Fc05C36C5cC95B516A696bdB4b9dFAfCA3A397F,transfer-no-return,,,,,,_
0x0a2a94Ded0b8C9cB3BD4Ec2ef86eeEE637A4Db7C,transfer-no-return,,,,,,_
0x0aeF06DcCCC531e581f0440059E6FfCC206039EE,transfer-no-return,Intelligent Trading Technologies,ITT,@COSS@IDEX@Mercatox,11500000,8,_
0x0b76544F6C413a555F309Bf76260d1E02377c02A,transfer-no-return,Internet Node Token,INT,@CoinEgg@ForkDelta@OKEx,1000000000,6,_
0x0b9caB17883e721888c22b2Bcb5A00f91A711989,transfer-no-return,,,,,,_
0x0bB664f7b6FC928B2d1e5aA32182Ae07023Ed4aA,transfer-no-return,,,,,,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,transfer-no-return,SwftCoin,SWFTC,@CoinBene@HitBTC@Huobi@OEX@OKEx@OTCBTC,10000000000,8,_
0x0bf4Ee4a8E49965D89AeD61FA63Fb203950E24c5,transfer-no-return,,,,,,_
0x0c37198BA896a0988f1ae289cd9D2B28428b038C,transfer-no-return,,,,,,_
0x0d547f8B8d7201523A834AddBB27E40140Ee6F18,transfer-no-return,,,,,,_
0x0e9C4d8610Aa2cf0DaBDAbB19920A1C810B65720,transfer-no-return,,,,,,_
0x10E32d84D8bD44B68e99c6fE147ef2ba63E6Ae22,transfer-no-return,,,,,,_
0x10E886BAcD4A12C21Bb39646751374Eae495B776,transfer-no-return,,,,,,_
0x11e62440475536fA49C0A42c83b6E2C9AF84Ae3A,transfer-no-return,,,,,,_
